Hour,Minute,Second,Lon,Lat,Speed,SpeedDirection,HeadingDirection,,,,,,,,,,,
4,43,29.4,177698.3319,2500798.277,0.022,15.216,264.707,,,,-6177,11027.36,-6763.67,11520.18,-7390.67,10556.66,-7565.18,11692.55
4,43,29.6,177698.3319,2500798.277,0.021,15.113,264.723,,,,177856.2331,2494369.982,177856.2331,2494369.982,177856.2331,2494369.982,177856.2331,2494369.982
4,43,29.8,177698.332,2500798.278,0.032,0.266,264.818,,,,171679.2331,2505397.342,171092.5631,2505890.162,170465.5631,2504926.642,170291.0531,2506062.532
4,43,30,177698.332,2500798.278,0.009,0,264.739,,,,,,,,,,,
4,43,30.2,177698.3321,2500798.278,0.009,0,264.704,,,,,,,,,,,
4,43,30.4,177698.3321,2500798.278,0.016,163.43,264.802,,,,,,,,,,,
4,43,30.6,177698.3322,2500798.278,0.031,180.959,264.931,,,,,,,,,,,
4,43,30.8,177698.3322,2500798.278,0.016,188.557,264.757,,,,,,,,,,,
4,43,31,177698.3322,2500798.278,0.018,184.5,264.677,,,,,,,,,,,
4,43,31.2,177698.3323,2500798.279,0.022,193.587,265.123,,,,,,,,,,,
4,43,31.4,177698.3323,2500798.279,0.014,184.189,265.036,,,,,,,,,,,
4,43,31.6,177698.3324,2500798.279,0.008,0,265.039,,,,,,,,,,,
4,43,31.8,177698.3324,2500798.279,0.003,0,264.919,,,,,,,,,,,
4,43,32,177698.3325,2500798.279,0.013,85.149,265.196,,,,,,,,,,,
4,43,32.2,177698.3325,2500798.279,0.025,65.905,264.918,,,,,,,,,,,
4,43,32.4,177698.3325,2500798.279,0.022,47.21,264.742,,,,,,,,,,,
4,43,32.6,177698.3326,2500798.28,0.022,55.972,264.675,,,,,,,,,,,
4,43,32.8,177698.3326,2500798.28,0.008,0,264.818,,,,,,,,,,,
4,43,33,177698.3327,2500798.28,0.002,0,264.699,,,,,,,,,,,
4,43,33.2,177698.3327,2500798.28,0.007,0,264.616,,,,,,,,,,,
4,43,33.4,177698.3328,2500798.28,0.009,0,264.942,,,,,,,,,,,
4,43,33.6,177698.3329,2500798.28,0.015,207.955,264.847,,,,,,,,,,,
4,43,33.8,177698.3329,2500798.281,0.015,177.019,264.837,,,,,,,,,,,
4,43,34,177698.333,2500798.281,0.023,208.11,264.794,,,,,,,,,,,
4,43,34.2,177698.333,2500798.281,0.029,183.719,264.701,,,,,,,,,,,
4,43,34.4,177698.3331,2500798.281,0.037,197.743,264.618,,,,,,,,,,,
4,43,34.6,177698.3331,2500798.281,0.035,186.095,264.609,,,,,,,,,,,
4,43,34.8,177698.3332,2500798.281,0.031,201.335,264.995,,,,,,,,,,,
4,43,35,177698.3332,2500798.281,0.012,186.077,264.861,,,,,,,,,,,
4,43,35.2,177698.3333,2500798.282,0.003,0,265.08,,,,,,,,,,,
4,43,35.4,177698.3333,2500798.282,0.017,16.411,265.008,,,,,,,,,,,
4,43,35.6,177698.3334,2500798.282,0.015,334.414,264.921,,,,,,,,,,,
4,43,35.8,177698.3334,2500798.282,0.019,338.503,264.899,,,,,,,,,,,
4,43,36,177698.3335,2500798.282,0.021,325.014,265.044,,,,,,,,,,,
4,43,36.2,177698.3335,2500798.282,0.02,326.998,265.079,,,,,,,,,,,
4,43,36.4,177698.3336,2500798.282,0.02,4.748,264.779,,,,,,,,,,,
4,43,36.6,177698.3336,2500798.283,0.013,343.591,265.04,,,,,,,,,,,
4,43,36.8,177698.3337,2500798.283,0.007,0,264.964,,,,,,,,,,,
4,43,37,177698.3337,2500798.283,0.007,0,264.967,,,,,,,,,,,
4,43,37.2,177698.3338,2500798.283,0.007,0,264.827,,,,,,,,,,,
4,43,37.4,177698.3338,2500798.283,0.026,180.39,264.894,,,,,,,,,,,
4,43,37.6,177698.3339,2500798.283,0.03,180.084,264.887,,,,,,,,,,,
4,43,37.8,177698.3339,2500798.283,0.034,175.299,264.76,,,,,,,,,,,
4,43,38,177698.334,2500798.284,0.033,188.926,264.667,,,,,,,,,,,
4,43,38.2,177698.334,2500798.284,0.034,199.252,264.872,,,,,,,,,,,
4,43,38.4,177698.3341,2500798.284,0.027,197.428,264.86,,,,,,,,,,,
4,43,38.6,177698.3341,2500798.284,0.014,218.36,264.813,,,,,,,,,,,
4,43,38.8,177698.3342,2500798.284,0.013,355.638,264.746,,,,,,,,,,,
4,43,39,177698.3342,2500798.284,0.041,22.966,264.761,,,,,,,,,,,
4,43,39.2,177698.3343,2500798.284,0.029,26.635,264.913,,,,,,,,,,,
4,43,39.4,177698.3343,2500798.285,0.026,4.287,264.82,,,,,,,,,,,
4,43,39.6,177698.3344,2500798.285,0.031,21.783,264.55,,,,,,,,,,,
4,43,39.8,177698.3344,2500798.285,0.024,344.383,264.901,,,,,,,,,,,
4,43,40,177698.3345,2500798.285,0.024,330.56,264.748,,,,,,,,,,,
4,43,40.2,177698.3345,2500798.285,0.025,344.085,264.642,,,,,,,,,,,
4,43,40.4,177698.3346,2500798.285,0.014,314.426,264.682,,,,,,,,,,,
4,43,40.6,177698.3346,2500798.285,0.011,225.728,264.763,,,,,,,,,,,
4,43,40.8,177698.3347,2500798.286,0.032,183.54,264.574,,,,,,,,,,,
4,43,41,177698.3347,2500798.286,0.032,192.618,264.554,,,,,,,,,,,
4,43,41.2,177698.3348,2500798.286,0.045,174.866,264.601,,,,,,,,,,,
4,43,41.4,177698.3348,2500798.286,0.037,183.27,264.585,,,,,,,,,,,
4,43,41.6,177698.3349,2500798.286,0.018,168.423,264.498,,,,,,,,,,,
4,43,41.8,177698.335,2500798.286,0.009,0,264.451,,,,,,,,,,,
4,43,42,177698.335,2500798.286,0.013,186.964,264.761,,,,,,,,,,,
4,43,42.2,177698.3351,2500798.287,0.004,0,264.55,,,,,,,,,,,
4,43,42.4,177698.3351,2500798.287,0.012,321.64,264.867,,,,,,,,,,,
4,43,42.6,177698.3352,2500798.287,0.014,284.911,264.75,,,,,,,,,,,
4,43,42.8,177698.3352,2500798.287,0.017,343.929,264.706,,,,,,,,,,,
4,43,43,177698.3353,2500798.287,0.031,336.166,264.843,,,,,,,,,,,
4,43,43.2,177698.3353,2500798.287,0.012,291.876,264.814,,,,,,,,,,,
4,43,43.4,177698.3354,2500798.287,0.013,261.404,264.646,,,,,,,,,,,
4,43,43.6,177698.3354,2500798.288,0.007,0,264.802,,,,,,,,,,,
4,43,43.8,177698.3355,2500798.288,0.006,0,264.842,,,,,,,,,,,
4,43,44,177698.3355,2500798.288,0.001,0,264.853,,,,,,,,,,,
4,43,44.2,177698.3356,2500798.288,0.007,0,264.615,,,,,,,,,,,
4,43,44.4,177698.3356,2500798.288,0.009,0,264.652,,,,,,,,,,,
4,43,44.6,177698.3357,2500798.288,0.007,0,264.763,,,,,,,,,,,
4,43,44.8,177698.3357,2500798.289,0.021,336.233,264.672,,,,,,,,,,,
4,43,45,177698.3358,2500798.289,0.006,0,264.558,,,,,,,,,,,
4,43,45.2,177698.3358,2500798.289,0.006,0,265.134,,,,,,,,,,,
4,43,45.4,177698.3359,2500798.289,0.004,0,264.88,,,,,,,,,,,
4,43,45.6,177698.3359,2500798.289,0.015,180.387,264.95,,,,,,,,,,,
4,43,45.8,177698.3359,2500798.289,0.017,224.686,264.923,,,,,,,,,,,
4,43,46,177698.336,2500798.289,0.02,210.161,264.889,,,,,,,,,,,
4,43,46.2,177698.3359,2500798.29,0.019,205.753,264.769,,,,,,,,,,,
