時,分,秒,經度,緯度
04,43,29.40,177698.263,2500798.204
04,43,29.60,177698.263,2500798.204
04,43,29.80,177698.263,2500798.204
04,43,30.00,177698.263,2500798.204
04,43,30.20,177698.263,2500798.204
04,43,30.40,177698.263,2500798.204
04,43,30.60,177698.263,2500798.204
04,43,30.80,177698.263,2500798.204
04,43,31.00,177698.263,2500798.204
04,43,31.20,177698.263,2500798.204
04,43,31.40,177698.263,2500798.204
04,43,31.60,177698.263,2500798.204
04,43,31.80,177698.263,2500798.204
04,43,32.00,177698.263,2500798.204
04,43,32.20,177698.263,2500798.204
04,43,32.40,177698.263,2500798.204
04,43,32.60,177698.263,2500798.204
04,43,32.80,177698.263,2500798.204
04,43,33.00,177698.263,2500798.204
04,43,33.20,177698.263,2500798.204
04,43,33.40,177698.263,2500798.204
04,43,33.60,177698.263,2500798.204
04,43,33.80,177698.263,2500798.204
04,43,34.00,177698.263,2500798.204
04,43,34.20,177698.263,2500798.204
04,43,34.40,177698.263,2500798.204
04,43,34.60,177698.263,2500798.204
04,43,34.80,177698.263,2500798.204
04,43,35.00,177698.263,2500798.204
04,43,35.20,177698.263,2500798.204
04,43,35.40,177698.263,2500798.204
04,43,35.60,177698.263,2500798.204
04,43,35.80,177698.263,2500798.204
04,43,36.00,177698.263,2500798.204
04,43,36.20,177698.263,2500798.204
04,43,36.40,177698.263,2500798.204
04,43,36.60,177698.263,2500798.204
04,43,36.80,177698.263,2500798.204
04,43,37.00,177698.263,2500798.204
04,43,37.20,177698.263,2500798.204
04,43,37.40,177698.263,2500798.204
04,43,37.60,177698.263,2500798.204
04,43,37.80,177698.263,2500798.204
04,43,38.00,177698.263,2500798.204
04,43,38.20,177698.263,2500798.204
04,43,38.40,177698.263,2500798.204
04,43,38.60,177698.263,2500798.204
04,43,38.80,177698.263,2500798.204
04,43,39.00,177698.263,2500798.204
04,43,39.20,177698.263,2500798.204
04,43,39.40,177698.263,2500798.204
04,43,39.60,177698.263,2500798.204
04,43,39.80,177698.263,2500798.204
04,43,40.00,177698.263,2500798.204
04,43,40.20,177698.263,2500798.204
04,43,40.40,177698.263,2500798.204
04,43,40.60,177698.263,2500798.204
04,43,40.80,177698.263,2500798.204
04,43,41.00,177698.263,2500798.204
04,43,41.20,177698.263,2500798.204
04,43,41.40,177698.263,2500798.204
04,43,41.60,177698.263,2500798.204
04,43,41.80,177698.263,2500798.204
04,43,42.00,177698.263,2500798.204
04,43,42.20,177698.263,2500798.204
04,43,42.40,177698.263,2500798.204
04,43,42.60,177698.263,2500798.204
04,43,42.80,177698.263,2500798.204
04,43,43.00,177698.263,2500798.204
04,43,43.20,177698.263,2500798.204
04,43,43.40,177698.263,2500798.204
04,43,43.60,177698.263,2500798.204
04,43,43.80,177698.263,2500798.204
04,43,44.00,177698.263,2500798.204
04,43,44.20,177698.263,2500798.204
04,43,44.40,177698.263,2500798.204
04,43,44.60,177698.263,2500798.204
04,43,44.80,177698.263,2500798.204
04,43,45.00,177698.263,2500798.204
04,43,45.20,177698.263,2500798.204
04,43,45.40,177698.263,2500798.204
04,43,45.60,177698.263,2500798.204
04,43,45.80,177698.263,2500798.204
04,43,46.00,177698.263,2500798.204
04,43,46.20,177698.263,2500798.204
04,43,46.40,177698.263,2500798.204
04,43,46.60,177698.263,2500798.204
04,43,46.80,177698.263,2500798.204
04,43,47.00,177698.263,2500798.204
04,43,47.20,177698.263,2500798.204
04,43,47.40,177698.263,2500798.204
04,43,47.60,177698.263,2500798.204
04,43,47.80,177698.263,2500798.204
04,43,48.00,177698.263,2500798.204
04,43,48.20,177698.263,2500798.204
04,43,48.40,177698.263,2500798.204
04,43,48.60,177698.263,2500798.204
04,43,48.80,177698.263,2500798.204
04,43,49.00,177698.263,2500798.204
04,43,49.20,177698.263,2500798.204
04,43,49.40,177698.263,2500798.204
04,43,49.60,177698.263,2500798.204
04,43,49.80,177698.263,2500798.204
04,43,50.00,177698.263,2500798.204
04,43,50.20,177698.263,2500798.204
04,43,50.40,177698.263,2500798.204
04,43,50.60,177698.263,2500798.204
