Hour,Minute,Second,Lon,Lat
04,43,29.40,177698.3318949,2500798.2772251
04,43,29.60,177698.3319299,2500798.2773725
04,43,29.80,177698.331982,2500798.2775199
04,43,30.00,177698.332017,2500798.2776859
04,43,30.00,177698.332017,2500798.2776859
04,43,30.20,177698.3320691,2500798.2778333
04,43,30.40,177698.3321042,2500798.2779992
04,43,30.60,177698.3321563,2500798.2781466
04,43,30.80,177698.3321913,2500798.2782941
04,43,31.00,177698.3322434,2500798.27846
04,43,31.00,177698.3322434,2500798.27846
04,43,31.20,177698.3322784,2500798.2786074
04,43,31.40,177698.3323305,2500798.2787549
04,43,31.60,177698.3323655,2500798.2789023
04,43,31.80,177698.3324176,2500798.2790497
04,43,32.00,177698.3324526,2500798.2791972
04,43,32.00,177698.3324526,2500798.2791972
04,43,32.20,177698.3325047,2500798.2793446
04,43,32.40,177698.3325396,2500798.2794921
04,43,32.60,177698.3325917,2500798.2796395
04,43,32.80,177698.3326438,2500798.2797869
04,43,33.00,177698.3326959,2500798.2799343
04,43,33.00,177698.3326959,2500798.2799343
04,43,33.20,177698.332748,2500798.2800817
04,43,33.40,177698.3328002,2500798.2802476
04,43,33.60,177698.3328523,2500798.280395
04,43,33.80,177698.3329044,2500798.2805424
04,43,34.00,177698.3329565,2500798.2806898
04,43,34.00,177698.3329565,2500798.2806898
04,43,34.20,177698.3330086,2500798.2808372
04,43,34.40,177698.3330607,2500798.2809846
04,43,34.60,177698.3331129,2500798.281132
04,43,34.80,177698.3331649,2500798.2812609
04,43,35.00,177698.333217,2500798.2814083
04,43,35.00,177698.333217,2500798.2814083
04,43,35.20,177698.3332691,2500798.2815557
04,43,35.40,177698.3333211,2500798.2816847
04,43,35.60,177698.3333732,2500798.2818321
04,43,35.80,177698.3334252,2500798.281961
04,43,36.00,177698.3334602,2500798.2821085
04,43,36.00,177698.3334602,2500798.2821085
04,43,36.20,177698.3335123,2500798.2822559
04,43,36.40,177698.3335644,2500798.2824033
04,43,36.60,177698.3336165,2500798.2825507
04,43,36.80,177698.3336686,2500798.2826981
04,43,37.00,177698.3337207,2500798.2828455
04,43,37.00,177698.3337207,2500798.2828455
04,43,37.20,177698.3337729,2500798.2830114
04,43,37.40,177698.3338078,2500798.2831589
04,43,37.60,177698.33386,2500798.2833063
04,43,37.80,177698.3339121,2500798.2834537
04,43,38.00,177698.3339641,2500798.2835826
04,43,38.00,177698.3339641,2500798.2835826
04,43,38.20,177698.3340162,2500798.28373
04,43,38.40,177698.3340682,2500798.283859
04,43,38.60,177698.3341202,2500798.2839879
04,43,38.80,177698.3341723,2500798.2841353
04,43,39.00,177698.3342243,2500798.2842642
04,43,39.00,177698.3342243,2500798.2842642
04,43,39.20,177698.3342764,2500798.2844116
04,43,39.40,177698.3343284,2500798.2845406
04,43,39.60,177698.3343805,2500798.284688
04,43,39.80,177698.3344327,2500798.2848354
04,43,40.00,177698.3344848,2500798.2849828
04,43,40.00,177698.3344848,2500798.2849828
04,43,40.20,177698.3345369,2500798.2851302
04,43,40.40,177698.334589,2500798.2852961
04,43,40.60,177698.3346412,2500798.2854435
04,43,40.80,177698.3346933,2500798.2856093
04,43,41.00,177698.3347454,2500798.2857567
04,43,41.00,177698.3347454,2500798.2857567
04,43,41.20,177698.3347975,2500798.2859041
04,43,41.40,177698.3348497,2500798.2860515
04,43,41.60,177698.3349018,2500798.2861989
04,43,41.80,177698.3349709,2500798.2863278
04,43,42.00,177698.335023,2500798.2864752
04,43,42.00,177698.335023,2500798.2864752
04,43,42.20,177698.3350751,2500798.2866226
04,43,42.40,177698.3351271,2500798.2867515
04,43,42.60,177698.3351792,2500798.2868989
04,43,42.80,177698.3352313,2500798.2870463
04,43,43.00,177698.3352834,2500798.2871937
04,43,43.00,177698.3352834,2500798.2871937
04,43,43.20,177698.3353355,2500798.2873411
04,43,43.40,177698.3353876,2500798.2874886
04,43,43.60,177698.3354397,2500798.287636
04,43,43.80,177698.3354918,2500798.2877834
04,43,44.00,177698.3355268,2500798.2879308
04,43,44.00,177698.3355268,2500798.2879308
04,43,44.20,177698.3355789,2500798.2880782
04,43,44.40,177698.335631,2500798.2882256
04,43,44.60,177698.335666,2500798.2883731
04,43,44.80,177698.3357181,2500798.2885205
04,43,45.00,177698.3357702,2500798.2886679
04,43,45.00,177698.3357702,2500798.2886679
04,43,45.20,177698.3358053,2500798.2888339
04,43,45.40,177698.3358574,2500798.2889813
04,43,45.60,177698.3359095,2500798.2891287
04,43,45.80,177698.3359444,2500798.2892762
04,43,46.00,177698.3359622,2500798.2894053
04,43,46.00,177698.3359622,2500798.2894053
04,43,46.20,177698.3359284,2500798.2895162
04,43,46.40,177698.3358946,2500798.2896086
04,43,46.60,177698.3358779,2500798.289701
04,43,46.80,177698.3358441,2500798.2898118
04,43,47.00,177698.3358103,2500798.2899043
04,43,47.00,177698.3358103,2500798.2899043
04,43,47.20,177698.3357937,2500798.2900151
04,43,47.40,177698.3357599,2500798.2901075
04,43,47.60,177698.3357432,2500798.2902184
04,43,47.80,177698.3357094,2500798.2903108
04,43,48.00,177698.3356928,2500798.2904216
04,43,48.00,177698.3356928,2500798.2904216
04,43,48.20,177698.3356762,2500798.2905324
04,43,48.40,177698.3356424,2500798.2906433
04,43,48.60,177698.3356258,2500798.2907541
04,43,48.80,177698.3356092,2500798.2908649
04,43,49.00,177698.3355926,2500798.2909758
04,43,49.00,177698.3355926,2500798.2909758
04,43,49.20,177698.335576,2500798.2910866
04,43,49.40,177698.3355422,2500798.2911975
04,43,49.60,177698.3355255,2500798.2912898
04,43,49.80,177698.3355089,2500798.2914006
04,43,50.00,177698.3354923,2500798.2915115
04,43,50.00,177698.3354923,2500798.2915115
04,43,50.20,177698.3354585,2500798.2916039
04,43,50.40,177698.3354419,2500798.2917147
04,43,50.60,177698.3354252,2500798.2918071
04,43,50.80,177698.3353914,2500798.291918
04,43,51.00,177698.3353748,2500798.2920288
04,43,51.00,177698.3353748,2500798.2920288
04,43,51.20,177698.335341,2500798.2921397
04,43,51.40,177698.3353243,2500798.292232
04,43,51.60,177698.3352906,2500798.2923429
04,43,51.80,177698.335274,2500798.2924537
04,43,52.00,177698.3352402,2500798.2925646
04,43,52.00,177698.3352402,2500798.2925646
04,43,52.20,177698.3352065,2500798.2926755
04,43,52.40,177698.3351727,2500798.2927864
04,43,52.60,177698.3351561,2500798.2928972
04,43,52.80,177698.3351224,2500798.2930081
04,43,53.00,177698.3350886,2500798.293119
04,43,53.00,177698.3350886,2500798.293119
04,43,53.20,177698.335055,2500798.2932484
04,43,53.40,177698.3350212,2500798.2933593
04,43,53.60,177698.3349875,2500798.2934702
04,43,53.80,177698.3349537,2500798.2935811
04,43,54.00,177698.33492,2500798.293692
04,43,54.00,177698.33492,2500798.293692
04,43,54.20,177698.3348862,2500798.2938029
04,43,54.40,177698.3348696,2500798.2939137
04,43,54.60,177698.3348359,2500798.2940246
04,43,54.80,177698.3348021,2500798.2941355
04,43,55.00,177698.3347683,2500798.2942279
04,43,55.00,177698.3347683,2500798.2942279
