Hour,Minute,Second,Lon,Lat,Speed,SpeedDirection,HeadingDirection
04,43,29.40,177698.3318949,2500798.2772251,0.022,15.216,264.707
04,43,29.60,177698.3319299,2500798.2773725,0.021,15.113,264.723
04,43,29.80,177698.331982,2500798.2775199,0.032,0.266,264.818
04,43,30.00,177698.332017,2500798.2776859,0.009,0.000,264.739
04,43,30.20,177698.3320691,2500798.2778333,0.009,0.000,264.704
04,43,30.40,177698.3321042,2500798.2779992,0.016,163.430,264.802
04,43,30.60,177698.3321563,2500798.2781466,0.031,180.959,264.931
04,43,30.80,177698.3321913,2500798.2782941,0.016,188.557,264.757
04,43,31.00,177698.3322434,2500798.27846,0.018,184.500,264.677
04,43,31.20,177698.3322784,2500798.2786074,0.022,193.587,265.123
04,43,31.40,177698.3323305,2500798.2787549,0.014,184.189,265.036
04,43,31.60,177698.3323655,2500798.2789023,0.008,0.000,265.039
04,43,31.80,177698.3324176,2500798.2790497,0.003,0.000,264.919
04,43,32.00,177698.3324526,2500798.2791972,0.013,85.149,265.196
04,43,32.20,177698.3325047,2500798.2793446,0.025,65.905,264.918
04,43,32.40,177698.3325396,2500798.2794921,0.022,47.210,264.742
04,43,32.60,177698.3325917,2500798.2796395,0.022,55.972,264.675
04,43,32.80,177698.3326438,2500798.2797869,0.008,0.000,264.818
04,43,33.00,177698.3326959,2500798.2799343,0.002,0.000,264.699
04,43,33.20,177698.332748,2500798.2800817,0.007,0.000,264.616
04,43,33.40,177698.3328002,2500798.2802476,0.009,0.000,264.942
04,43,33.60,177698.3328523,2500798.280395,0.015,207.955,264.847
04,43,33.80,177698.3329044,2500798.2805424,0.015,177.019,264.837
04,43,34.00,177698.3329565,2500798.2806898,0.023,208.110,264.794
04,43,34.20,177698.3330086,2500798.2808372,0.029,183.719,264.701
04,43,34.40,177698.3330607,2500798.2809846,0.037,197.743,264.618
04,43,34.60,177698.3331129,2500798.281132,0.035,186.095,264.609
04,43,34.80,177698.3331649,2500798.2812609,0.031,201.335,264.995
04,43,35.00,177698.333217,2500798.2814083,0.012,186.077,264.861
04,43,35.20,177698.3332691,2500798.2815557,0.003,0.000,265.080
04,43,35.40,177698.3333211,2500798.2816847,0.017,16.411,265.008
04,43,35.60,177698.3333732,2500798.2818321,0.015,334.414,264.921
04,43,35.80,177698.3334252,2500798.281961,0.019,338.503,264.899
04,43,36.00,177698.3334602,2500798.2821085,0.021,325.014,265.044
04,43,36.20,177698.3335123,2500798.2822559,0.020,326.998,265.079
04,43,36.40,177698.3335644,2500798.2824033,0.020,4.748,264.779
04,43,36.60,177698.3336165,2500798.2825507,0.013,343.591,265.040
04,43,36.80,177698.3336686,2500798.2826981,0.007,0.000,264.964
04,43,37.00,177698.3337207,2500798.2828455,0.007,0.000,264.967
04,43,37.20,177698.3337729,2500798.2830114,0.007,0.000,264.827
04,43,37.40,177698.3338078,2500798.2831589,0.026,180.390,264.894
04,43,37.60,177698.33386,2500798.2833063,0.030,180.084,264.887
04,43,37.80,177698.3339121,2500798.2834537,0.034,175.299,264.760
04,43,38.00,177698.3339641,2500798.2835826,0.033,188.926,264.667
04,43,38.20,177698.3340162,2500798.28373,0.034,199.252,264.872
